repository,file_path,change_count
flask,CHANGES.rst,66
flask,pyproject.toml,42
flask,.github/workflows/tests.yaml,41
flask,.github/workflows/publish.yaml,41
flask,.pre-commit-config.yaml,35
flask,src/flask/app.py,29
flask,src/flask/helpers.py,21
flask,uv.lock,21
flask,requirements/dev.txt,21
flask,requirements/typing.txt,21
flask,.github/workflows/pre-commit.yaml,18
flask,src/flask/sansio/app.py,18
flask,requirements/tests.txt,17
flask,requirements/docs.txt,16
flask,tox.ini,16
flask,src/flask/sessions.py,14
flask,tests/test_basic.py,13
flask,.github/workflows/lock.yaml,12
flask,src/flask/cli.py,12
flask,src/flask/ctx.py,10
flask,docs/config.rst,10
flask,requirements/build.txt,10
flask,src/flask/testing.py,8
flask,README.md,8
flask,src/flask/sansio/scaffold.py,7
flask,tests/test_blueprints.py,7
flask,src/flask/json/provider.py,7
flask,tests/test_testing.py,6
flask,tests/test_cli.py,6
flask,docs/index.rst,6
flask,src/flask/views.py,5
flask,.github/workflows/zizmor.yaml,5
flask,examples/javascript/pyproject.toml,5
flask,tests/test_reqctx.py,5
flask,docs/templating.rst,5
flask,src/flask/templating.py,5
flask,docs/quickstart.rst,5
flask,docs/web-security.rst,5
flask,docs/conf.py,5
flask,.readthedocs.yaml,5
flask,src/flask/__init__.py,5
flask,tests/test_views.py,4
flask,examples/celery/pyproject.toml,4
flask,examples/tutorial/pyproject.toml,4
flask,docs/appcontext.rst,4
flask,tests/test_appctx.py,4
flask,tests/test_helpers.py,4
flask,docs/_static/flask-horizontal.svg,4
flask,docs/_static/flask-icon.svg,4
flask,docs/_static/flask-vertical.svg,4
flask,src/flask/typing.py,4
flask,.gitignore,4
flask,requirements/dev.in,4
flask,requirements/docs.in,4
flask,requirements/tests-min.txt,4
flask,src/flask/wrappers.py,4
flask,src/flask/blueprints.py,4
flask,.github/dependabot.yml,4
flask,tests/conftest.py,3
flask,docs/patterns/streaming.rst,3
flask,examples/tutorial/flaskr/__init__.py,3
flask,docs/installation.rst,3
flask,docs/design.rst,3
flask,docs/extensiondev.rst,3
flask,src/flask/sansio/blueprints.py,3
flask,docs/contributing.rst,3
flask,requirements/tests-min.in,3
flask,requirements/typing.in,3
flask,.github/ISSUE_TEMPLATE/config.yml,3
flask,requirements-skip/README.md,3
flask,src/flask/config.py,3
flask,src/flask/json/tag.py,3
flask,tests/typing/typing_app_decorators.py,3
flask,requirements/tests-pallets-min.txt,3
flask,docs/patterns/mongoengine.rst,2
flask,docs/async-await.rst,2
flask,docs/patterns/javascript.rst,2
flask,docs/api.rst,2
flask,docs/testing.rst,2
flask,docs/tutorial/database.rst,2
flask,src/flask/debughelpers.py,2
flask,src/flask/json/__init__.py,2
flask,docs/server.rst,2
flask,CODE_OF_CONDUCT.md,2
flask,CONTRIBUTING.rst,2
flask,tests/test_request.py,2
flask,requirements-skip/tests-dev.txt,2
flask,requirements/tests-pallets-min.in => requirements-skip/tests-min.in,2
flask,requirements-skip/tests-min.txt,2
flask,.flake8,2
flask,examples/javascript/js_example/views.py,2
flask,examples/tutorial/flaskr/auth.py,2
flask,examples/tutorial/flaskr/blog.py,2
flask,tests/test_apps/subdomaintestmodule/__init__.py,2
flask,tests/test_signals.py,2
flask,tests/typing/typing_route.py,2
flask,docs/blueprints.rst,1
flask,docs/errorhandling.rst,1
flask,src/flask/sansio/README.md,1
flask,examples/celery/src/task_app/__init__.py,1
flask,examples/javascript/js_example/__init__.py,1
flask,docs/tutorial/layout.rst,1
flask,docs/tutorial/factory.rst,1
flask,docs/deploying/eventlet.rst,1
flask,docs/deploying/gevent.rst,1
flask,docs/deploying/gunicorn.rst,1
flask,docs/deploying/index.rst,1
flask,docs/deploying/uwsgi.rst,1
flask,docs/gevent.rst,1
flask,tests/test_subclassing.py,1
flask,docs/lifecycle.rst,1
flask,docs/patterns/sqlalchemy.rst,1
flask,docs/patterns/sqlite3.rst,1
flask,docs/reqcontext.rst,1
flask,docs/shell.rst,1
flask,docs/signals.rst,1
