repository,file_path,language,extension,loc,size_bytes
flask,docs/conf.py,Python,.py,101,3487
flask,tests/conftest.py,Python,.py,112,2658
flask,tests/test_appctx.py,Python,.py,265,7092
flask,tests/test_async.py,Python,.py,145,3480
flask,tests/test_basic.py,Python,.py,1974,56247
flask,tests/test_blueprints.py,Python,.py,1115,32402
flask,tests/test_cli.py,Python,.py,703,21006
flask,tests/test_config.py,Python,.py,250,7998
flask,tests/test_converters.py,Python,.py,42,1135
flask,tests/test_helpers.py,Python,.py,377,11595
flask,tests/test_instance_config.py,Python,.py,111,3428
flask,tests/test_json.py,Python,.py,346,9087
flask,tests/test_json_tag.py,Python,.py,86,2084
flask,tests/test_logging.py,Python,.py,98,2627
flask,tests/test_regression.py,Python,.py,30,742
flask,tests/test_reqctx.py,Python,.py,249,6945
flask,tests/test_request.py,Python,.py,70,1972
flask,tests/test_session_interface.py,Python,.py,28,812
flask,tests/test_signals.py,Python,.py,181,5045
flask,tests/test_subclassing.py,Python,.py,21,501
flask,tests/test_templating.py,Python,.py,532,15935
flask,tests/test_testing.py,Python,.py,398,10961
flask,tests/test_user_error_handler.py,Python,.py,295,8731
flask,tests/test_views.py,Python,.py,271,7329
flask,tests/type_check/typing_app_decorators.py,Python,.py,32,621
flask,tests/type_check/typing_error_handler.py,Python,.py,33,680
flask,tests/type_check/typing_route.py,Python,.py,112,2644
flask,tests/test_apps/blueprintapp/__init__.py,Python,.py,9,265
flask,tests/test_apps/cliapp/app.py,Python,.py,3,55
flask,tests/test_apps/cliapp/factory.py,Python,.py,13,182
flask,tests/test_apps/cliapp/importerrorapp.py,Python,.py,5,78
flask,tests/test_apps/cliapp/multiapp.py,Python,.py,4,71
flask,tests/test_apps/cliapp/__init__.py,Python,.py,0,0
flask,tests/test_apps/helloworld/hello.py,Python,.py,8,112
flask,tests/test_apps/helloworld/wsgi.py,Python,.py,1,37
flask,tests/test_apps/subdomaintestmodule/__init__.py,Python,.py,3,76
flask,tests/test_apps/cliapp/inner1/__init__.py,Python,.py,3,58
flask,tests/test_apps/cliapp/inner1/inner2/flask.py,Python,.py,3,50
flask,tests/test_apps/cliapp/inner1/inner2/__init__.py,Python,.py,0,0
flask,tests/test_apps/blueprintapp/apps/__init__.py,Python,.py,0,0
flask,tests/test_apps/blueprintapp/apps/admin/__init__.py,Python,.py,20,386
flask,tests/test_apps/blueprintapp/apps/frontend/__init__.py,Python,.py,14,341
flask,src/flask/app.py,Python,.py,1628,67100
flask,src/flask/blueprints.py,Python,.py,128,4669
flask,src/flask/cli.py,Python,.py,1127,37963
flask,src/flask/config.py,Python,.py,367,13586
flask,src/flask/ctx.py,Python,.py,540,18801
flask,src/flask/debughelpers.py,Python,.py,179,6249
flask,src/flask/globals.py,Python,.py,77,2491
flask,src/flask/helpers.py,Python,.py,682,25310
flask,src/flask/logging.py,Python,.py,79,2456
flask,src/flask/sessions.py,Python,.py,385,15354
flask,src/flask/signals.py,Python,.py,17,767
flask,src/flask/templating.py,Python,.py,212,7548
flask,src/flask/testing.py,Python,.py,298,10432
flask,src/flask/typing.py,Python,.py,87,3201
flask,src/flask/views.py,Python,.py,191,7162
flask,src/flask/wrappers.py,Python,.py,257,9663
flask,src/flask/__init__.py,Python,.py,39,2111
flask,src/flask/__main__.py,Python,.py,3,33
flask,src/flask/json/provider.py,Python,.py,215,7859
flask,src/flask/json/tag.py,Python,.py,327,9608
flask,src/flask/json/__init__.py,Python,.py,170,5753
flask,src/flask/sansio/app.py,Python,.py,1013,40508
flask,src/flask/sansio/blueprints.py,Python,.py,692,27709
flask,src/flask/sansio/scaffold.py,Python,.py,800,31433
flask,examples/celery/make_celery.py,Python,.py,4,106
flask,examples/tutorial/flaskr/auth.py,Python,.py,116,3412
flask,examples/tutorial/flaskr/blog.py,Python,.py,125,3430
flask,examples/tutorial/flaskr/db.py,Python,.py,56,1373
flask,examples/tutorial/flaskr/__init__.py,Python,.py,48,1454
flask,examples/tutorial/tests/conftest.py,Python,.py,62,1516
flask,examples/tutorial/tests/test_auth.py,Python,.py,69,2139
flask,examples/tutorial/tests/test_blog.py,Python,.py,83,2586
flask,examples/tutorial/tests/test_db.py,Python,.py,29,645
flask,examples/tutorial/tests/test_factory.py,Python,.py,12,310
flask,examples/javascript/js_example/views.py,Python,.py,18,447
flask,examples/javascript/js_example/__init__.py,Python,.py,5,96
flask,examples/javascript/tests/conftest.py,Python,.py,15,231
flask,examples/javascript/tests/test_js_example.py,Python,.py,27,754
flask,examples/celery/src/task_app/tasks.py,Python,.py,23,507
flask,examples/celery/src/task_app/views.py,Python,.py,38,992
