token,frequency
_,6355
/,5356
py,2957
.,2336
test,1720
tests,1011
tutorial,938
sklearn,768
src,603
/_,508
docs,483
310,382
init,345
__.,339
/__,338
plot,315
examples,304
testing,190
001,183
params,173
model,165
utils,152
scripts,115
response,112
an,111
002,109
example,106
request,95
003,89
pytest,87
linear,87
query,83
path,82
cluster,82
api,81
body,77
benchmarks,76
externals,75
models,73
app,71
array,71
ensemble,70
security,69
selection,69
extra,67
validations,67
str,61
custom,60
dependencies,60
fixtures,56
004,55
svm,53
pyx,52
bench,51
datasets,51
fastapi,49
openapi,47
feature,47
conftest,46
neighbors,46
metrics,46
decomposition,45
boosting,44
compat,43
param,43
doc,43
gradient,42
005,41
tree,41
2,40
python,40
types,39
code,39
header,36
data,36
006,36
1,35
s,33
en,33
release,32
b,32
main,31
operation,31
hist,31
dependency,30
base,30
a,30
applications,29
optional,29
common,29
in,28
files,28
preprocessing,27
flask,26
008,26
highlights,26
settings,25
additional,25
js,24
c,24
cookie,24
advanced,24
manifold,24
d,23
callback,23
schema,23
pxd,23
covariance,23
requests,22
status,22
dataclasses,22
-,21
e,21
v,21
nested,21
events,21
gaussian,21
inspection,21
regression,20
middleware,20
mixture,20
config,19
json,19
assertion,19
responses,19
and,19
id,19
numeric,19
process,19
classification,19
sub,18
apps,18
list,18
t,18
integration,18
compare,18
fill,18
ui,18
form,18
l,18
02,18
metadata,18
pca,18
openml,18
0,18
class,17
error,17
multiple,17
01,17
vs,17
build,17
type,16
route,16
http,16
fast,16
errors,16
007,16
html,16
configuration,16
k,16
sparse,16
supervised,16
server,15
generate,15
h,15
collect,15
stream,15
repr,15
configurations,15
image,15
kernel,15
typing,14
fixture,14
forms,14
009,14
handling,14
extraction,14
loss,14
neural,14
semi,14
miscellaneous,14
r,13
translation,13
03,13
tools,13
asv,13
ing,12
y,12
es,12
unittest,12
io,12
websockets,12
fixer,12
swagger,12
description,12
separate,12
schemas,12
behind,12
proxy,12
sent,12
playwright,12
compose,12
impute,12
libsvm,12
digits,12
check,11
g,11
o,11
file,11
router,11
encoder,11
oauth,11
bigger,11
clients,11
lasso,11
cross,11
agnostic,11
hdbscan,11
async,10
re,10
m,10
p,10
pydantic,10
key,10
validation,10
directly,10
sql,10
databases,10
glm,10
forest,10
kmeans,10
random,10
calibration,10
ridge,10
search,10
network,10
curve,10
helpers,9
at,9
multi,9
frontend,9
er,9
plugins,9
label,9
i,9
required,9
bearer,9
graph,9
010,9
dict,9
liblinear,9
display,9
cliapp,8
tasks,8
warnings,8
info,8
customdirectory,8
extend,8
first,8
text,8
u,8
background,8
5,8
no,8
callbacks,8
configure,8
011,8
blocks,8
_/,8
pairwise,8
sgd,8
multiclass,8
propagation,8
bicluster,8
means,8
target,8
experimental,8
frozen,8
gpr,8
logistic,8
iris,8
ors,7
or,7
level,7
cookies,7
support,7
ed,7
scope,7
issue,7
x,7
w,7
comparison,7
module,7
as,7
only,7
available,7
set,7
f,7
order,7
union,7
fields,7
partial,7
6,7
9,7
on,7
al,7
headers,7
strict,7
content,7
3,7
templates,7
mismatch,7
lda,7
linalg,7
numpy,7
4,7
co,7
sphinxext,7
github,7
basic,6
logging,6
wsgi,6
inner,6
codes,6
get,6
deprecated,6
debugging,6
po,6
mark,6
able,6
un,6
with,6
recursive,6
funcargs,6
subdir,6
foo,6
scopes,6
routing,6
static,6
ation,6
yield,6
context,6
bytes,6
validate,6
modules,6
same,6
name,6
updates,6
012,6
013,6
number,6
it,6
mds,6
newsgroups,6
samples,6
le,6
spectral,6
transformer,6
enable,6
halving,6
threshold,6
gpc,6
dependence,6
estimator,6
is,6
reduction,6
ch,6
lib,6
cupy,6
dask,6
torch,6
gmm,6
cli,5
de,5
celery,5
setup,5
skip,5
se,5
group,5
ex,5
freeze,5
by,5
stats,5
marks,5
pkg,5
package,5
com,5
exception,5
default,5
time,5
include,5
ro,5
n,5
stringified,5
me,5
change,5
di,5
webhooks,5
cors,5
steps,5
64,5
lines,5
20,5
isotonic,5
lof,5
mnist,5
nmf,5
polynomial,5
approximation,5
analysis,5
multioutput,5
pipeline,5
learning,5
weight,5
permutation,5
importance,5
successive,5
kde,5
nca,5
nearest,5
discretization,5
cython,5
blas,5
sorting,5
cpp,5
distances,5
roc,5
aliases,5
fft,5
conf,4
q,4
user,4
views,4
blueprintapp,4
im,4
flaskr,4
auth,4
javascript,4
task,4
structures,4
exceptions,4
internal,4
version,4
pr,4
doctest,4
ent,4
link,4
nodes,4
checks,4
raises,4
ate,4
ut,4
to,4
pprint,4
format,4
tri,4
tw,4
us,4
var,4
ic,4
message,4
item,4
funcarg,4
fa,4
prefix,4
il,4
sequence,4
ar,4
con,4
la,4
redirect,4
parameter,4
from,4
ions,4
8,4
split,4
output,4
parameters,4
authorization,4
connect,4
ance,4
memory,4
authentication,4
conditional,4
extending,4
graphql,4
014,4
05,4
using,4
links,4
ap,4
predict,4
hierarchical,4
incremental,4
omp,4
svd,4
reg,4
vectorizer,4
