token,frequency
_,6355
/,5356
py,2957
.,2336
test,1720
tests,1011
tutorial,938
sklearn,768
src,603
/_,508
docs,483
310,382
init,345
__.,339
/__,338
plot,315
examples,304
testing,190
001,183
params,173
model,165
utils,152
scripts,115
response,112
an,111
002,109
example,106
request,95
003,89
pytest,87
linear,87
query,83
path,82
cluster,82
api,81
body,77
benchmarks,76
externals,75
models,73
app,71
array,71
ensemble,70
security,69
selection,69
extra,67
validations,67
str,61
custom,60
dependencies,60
fixtures,56
